0,102392
1,102400
2,102356
3,102324
4,102287
5,102246
6,102223
7,102161
8,102130
9,102111
10,102103
11,102111
12,102095
13,102089
14,102028
15,101943
16,101783
17,101616
18,101540
19,101420
20,101237
21,101089
22,100963
23,100854
24,100711
25,100584
26,100463
27,100323
28,100243
29,100209
30,100236
31,100280
32,100305
33,100358
34,100397
35,100422
36,100410
37,100355
38,100396
39,100399
40,100352
41,100330
42,100312
43,100313
44,100310
45,100306
46,100296
47,100271
48,100109
49,100039
50,100051
51,100077
52,100082
53,100103
54,100106
55,100092
56,100068
57,100071
58,100073
59,100068
60,100074
61,100085
62,100100
63,100109
64,100113
65,100119
66,100099
67,100131
68,100288
69,100425
70,100510
71,100586
72,100633
73,100665
74,100696
75,100721
76,100733
77,100752
78,100790
79,100807
80,100808
81,100789
82,100799
83,100845
84,100903
85,100956
86,100959
87,100968
88,100968
89,100968
90,100975
91,100983
92,101040
93,101057
94,101096
95,101156
96,101185
97,101294
98,101415
99,101496
100,101511
101,101522
102,101521
103,101516
104,101460
105,101417
106,101407
107,101397
108,101396
109,101391
110,101386
111,101386
112,101385
113,101388
114,101379
115,101368
116,101368
117,101362
118,101363
119,101354
120,101329
121,101317
122,101310
123,101305
124,101315
125,101335
126,101328
127,101288
128,101237
129,101181
130,101149
131,101080
132,101035
133,101004
134,101012
135,101027
136,101043
137,101040
138,101034
139,101033
140,101032
141,101033
142,101037
143,101030
144,101018
145,101020
146,101020
147,101021
148,101026
149,101041
150,101050
151,101092
152,101125
153,101149
154,101150
